epochs,batch_size,error,accuracy
2,1,0.13668792678092526,100.0
4,2,0.1546372288050244,100.0
6,3,0.16400653757386086,100.0
8,4,0.16850259904766576,100.0
10,5,0.16784631795286087,100.0
12,6,0.17381870086403087,100.0
14,7,0.17241935836641797,100.0
16,8,0.17643370085564083,100.0
18,9,0.17286219229071342,100.0
19,10,0.1787695719426019,100.0
22,11,0.17444840501849884,100.0
25,12,0.17391582553951795,100.0
25,13,0.174052485817984,100.0
28,14,0.1770944977053442,100.0
28,15,0.1776593730314816,100.0
33,16,0.17661330487282617,100.0
33,17,0.17681566775550275,100.0
33,18,0.17576380805600336,100.0
33,19,0.17830206824512335,100.0
40,20,0.17594840132302103,100.0
39,21,0.178950395935903,100.0
40,22,0.1757234607730043,100.0
40,23,0.17645498282241082,100.0
50,24,0.17665903481375445,100.0
50,25,0.17667010080941126,100.0
50,26,0.1766794687764323,100.0
50,27,0.17730850964787465,100.0
49,28,0.17896421299934187,100.0
50,29,0.1767310412117623,100.0
50,30,0.17834755146109232,100.0
48,31,0.17889723792511258,100.0
66,32,0.1786912770923879,100.0
66,33,0.17867123094452397,100.0
66,34,0.17878838648379936,100.0
66,35,0.17854277990815232,100.0
66,36,0.1783889592934676,100.0
66,37,0.1789111882662966,100.0
67,38,0.17704116777563678,100.0
66,39,0.1785927579736572,100.0
67,40,0.17724638420306804,100.0
66,41,0.17787973447169173,100.0
66,42,0.17894611396842786,100.0
66,43,0.17818517180452537,100.0
67,44,0.1785523561197549,100.0
67,45,0.17807205642240165,100.0
67,46,0.17753280427121243,100.0
66,47,0.1780478530133444,100.0
100,48,0.17805859709003174,100.0
100,49,0.17809942759001646,100.0
100,50,0.17797910908357442,100.0
100,51,0.17812936931732926,100.0
100,52,0.17819053881677027,100.0
100,53,0.17823094663622352,100.0
100,54,0.1779144383610457,100.0
100,55,0.17809491662062482,100.0
100,56,0.17804878884187458,100.0
100,57,0.178047222211144,100.0
100,58,0.17817018707048582,100.0
100,59,0.1779534871625284,100.0
100,60,0.17823498398897203,100.0
100,61,0.17809620949164984,100.0
100,62,0.17789099018840707,100.0
100,63,0.17818003389580706,100.0
100,64,0.17843399727486198,100.0
100,65,0.1783450805740565,100.0
99,66,0.17879322577293127,100.0
100,67,0.1780438844704666,100.0
100,68,0.1781656823720952,100.0
100,69,0.17819555131831255,100.0
100,70,0.1787114453489902,100.0
100,71,0.17767725577531818,100.0
100,72,0.17774806927678566,100.0
100,73,0.1783332480806032,100.0
99,74,0.17880977079055804,100.0
100,75,0.17814273902172398,100.0
100,76,0.17779653637388051,100.0
100,77,0.17881031800359085,100.0
100,78,0.17871335082923556,100.0
100,79,0.17787933262760175,100.0
100,80,0.1783245130167394,100.0
100,81,0.17857720876095656,100.0
100,82,0.1778171978131151,100.0
99,83,0.1783379223752304,100.0
100,84,0.1782707550794735,100.0
99,85,0.17892981658390422,100.0
99,86,0.1780571855887214,100.0
102,87,0.1777763766473598,100.0
101,88,0.17823043321801782,100.0
100,89,0.17800650988927047,100.0
101,90,0.17776017346197837,100.0
100,91,0.17896005262030645,100.0
102,92,0.17867281286148323,100.0
100,93,0.17758956452753408,100.0
98,94,0.1772757595285395,100.0
100,95,0.17612370649767045,100.0
200,96,0.17876339303793143,100.0
